date,name,type
2022-01-01,1,2
2022-01-02,1,2
2022-01-03,1,2
2022-01-31,2,2
2022-02-01,2,2
2022-02-02,2,2
2022-02-03,2,2
2022-02-04,2,2
2022-02-05,2,2
2022-04-10,3,2
2022-04-11,3,2
2022-04-30,4,2
2022-05-01,5,2
2022-05-02,4,2
2022-05-03,5,2
2022-09-01,6,1
2022-09-02,6,2
2023-01-01,1,2
2023-01-02,1,2
2023-01-20,2,1
2023-01-21,2,2
2023-01-22,2,2
2023-01-23,2,2
2023-01-24,2,2
2023-01-25,2,2
2023-01-26,2,2
2023-04-29,3,2
2023-04-30,4,2
2023-05-01,5,2
2023-05-02,3,2
2023-05-03,4,2
2023-09-01,6,1
2023-09-02,6,2
2023-09-03,6,1
2023-09-04,6,2
2024-01-01,1,2
2024-02-08,2,1
2024-02-09,2,2
2024-02-10,2,2
2024-02-11,2,2
2024-02-12,2,2
2024-02-13,2,2
2024-02-14,2,2
2024-04-18,3,2
2024-04-29,4,1
2024-04-30,4,2
2024-05-01,5,2
2024-08-31,6,1
2024-09-01,6,1
2024-09-02,6,2
2024-09-03,6,1
2025-01-01,1,2
2025-01-25,2,1
2025-01-26,2,1
2025-01-27,2,1
2025-01-28,2,2
2025-01-29,2,2
2025-01-30,2,2
2025-01-31,2,2
2025-02-01,2,2
2025-02-02,2,2
2025-04-07,3,2
2025-04-26,0,0
2025-04-30,4,2
2025-05-01,5,2
2025-05-02,5,1
2025-09-01,6,1
2025-09-02,6,2
